week,team,week_proj,season_avg,actual
1,Me,118.1,118.1,115.7
2,Me,119.1,118.1,116.2
3,Me,117.0,118.0,115.1
4,Me,118.1,118.1,130.0
1,Top Team,127.0,124.0,124.8
2,Top Team,122.2,124.2,96.7
3,Top Team,128.0,124.0,133.6
4,Top Team,125.1,124.1,120.6
1,Draft Steal,111.0,110.0,107.3
2,Draft Steal,112.5,113.5,114.5
3,Draft Steal,119.0,117.0,122.9
4,Draft Steal,119.5,119.5,139.3
1,Lucky Start,119.0,112.0,130.2
2,Lucky Start,120.0,112.0,121.9
3,Lucky Start,117.8,111.8,105.2
4,Lucky Start,117.1,112.1,99.9
1,Grinders,119.0,120.0,123.2
2,Grinders,122.1,120.1,144.4
3,Grinders,119.8,119.8,120.5
4,Grinders,118.0,120.0,116.2
1,The Tank,102.0,105.0,111.0
2,The Tank,105.8,104.8,81.1
3,The Tank,103.1,105.1,97.8
4,The Tank,105.0,105.0,113.3
1,Middle Pack,116.0,116.0,130.8
2,Middle Pack,114.1,116.1,110.0
3,Middle Pack,116.9,115.9,123.3
4,Middle Pack,118.0,116.0,122.2
1,Boom Bust,122.0,117.0,135.3
2,Boom Bust,110.8,116.8,91.9
3,Boom Bust,121.1,117.1,130.8
4,Boom Bust,112.0,117.0,86.3
1,Streamers,116.0,114.0,71.5
2,Streamers,114.2,114.2,103.9
3,Streamers,113.0,114.0,97.4
4,Streamers,114.9,113.9,129.8
1,Byes R Us,108.0,110.0,119.3
2,Byes R Us,109.1,110.1,88.4
3,Byes R Us,110.9,109.9,125.3
4,Byes R Us,107.0,110.0,90.0
